Chr	NeBurnIn	nBottleneck	nGenBottleneck	nGenBreed	nBreed	SNPchipRefPop	Chr_specific_recomb_rate	Mutations	Sim_F_ROH	F_ROH_CI	Sim_ROH_hotspot_thr	ROH_hotspot_thr_CI	H_e_No_MAF	H_e_No_MAF_ci	H_e_5th_perc_No_MAF	H_e_MAF_0_05	H_e_MAF_0_05_ci	H_e_5th_perc_MAF_0_05	Sim_Cost_Result
chr9	5590	14	1	55	190	last_breed_formation_generation	True	TRUE	0.17	(0.163, 0.177)	0.342	(0.306, 0.378)	0.20742	(0.2057, 0.20914)	0.08861	0.33814	(0.3357, 0.34059)	0.22206	2.7672
chr9	5385	7	1	51	225	last_breed_formation_generation	True	TRUE	0.21	(0.193, 0.227)	0.392	(0.335, 0.449)	0.2399	(0.23422, 0.24558)	0.11184	0.34503	(0.34149, 0.34856)	0.227	1.66787
chr9	5230	5	1	47	175	last_breed_formation_generation	True	TRUE	0.248	(0.232, 0.263)	0.456	(0.409, 0.503)	0.25687	(0.25145, 0.26229)	0.11705	0.3557	(0.35169, 0.35971)	0.23278	1.30969
chr9	4835	9	1	48	205	last_breed_formation_generation	True	TRUE	0.193	(0.183, 0.202)	0.357	(0.331, 0.383)	0.22853	(0.22482, 0.23223)	0.10244	0.34538	(0.34258, 0.34818)	0.22933	1.96474
chr9	5025	11	1	44	160	last_breed_formation_generation	True	TRUE	0.195	(0.185, 0.204)	0.365	(0.333, 0.396)	0.21757	(0.21471, 0.22042)	0.09512	0.33948	(0.33715, 0.34181)	0.22072	2.1595
chr9	5730	5	2	56	180	last_breed_formation_generation	True	TRUE	0.332	(0.305, 0.358)	0.633	(0.566, 0.701)	0.22099	(0.21196, 0.23001)	0.0726	0.35604	(0.34879, 0.36329)	0.20757	2.72188
chr9	5415	7	1	50	175	last_breed_formation_generation	True	TRUE	0.218	(0.207, 0.23)	0.4	(0.362, 0.438)	0.23795	(0.23349, 0.24241)	0.10735	0.34994	(0.34756, 0.35232)	0.23099	1.34849
chr9	5210	54	3	50	175	last_breed_formation_generation	True	TRUE	0.163	(0.156, 0.169)	0.317	(0.279, 0.355)	0.15863	(0.1569, 0.16036)	0.05231	0.33255	(0.32983, 0.33527)	0.20276	4.00004
chr20	5480	9	1	47	160	last_breed_formation_generation	True	TRUE	0.219	(0.208, 0.229)	0.413	(0.383, 0.444)	0.2242	(0.22098, 0.22741)	0.09252	0.34605	(0.34347, 0.34862)	0.22352	1.50262
chr9	4700	11	2	53	210	last_breed_formation_generation	True	TRUE	0.21	(0.201, 0.219)	0.417	(0.378, 0.456)	0.20992	(0.20719, 0.21266)	0.08304	0.34659	(0.34413, 0.34905)	0.22233	1.91164
chr9	5840	16	1	50	145	last_breed_formation_generation	True	TRUE	0.204	(0.193, 0.216)	0.385	(0.35, 0.42)	0.19401	(0.19189, 0.19612)	0.07423	0.34146	(0.33883, 0.3441)	0.21752	2.4694
chr9	5305	13	2	48	195	last_breed_formation_generation	True	TRUE	0.198	(0.188, 0.209)	0.405	(0.349, 0.462)	0.205	(0.20217, 0.20783)	0.0809	0.34407	(0.34155, 0.34659)	0.22028	2.34373
chr9	4965	7	1	44	180	last_breed_formation_generation	True	TRUE	0.203	(0.193, 0.214)	0.353	(0.319, 0.387)	0.24434	(0.24112, 0.24755)	0.11983	0.34456	(0.34237, 0.34675)	0.2305	1.567
chr9	4825	7	1	46	225	last_breed_formation_generation	True	TRUE	0.193	(0.182, 0.204)	0.328	(0.30, 0.356)	0.24743	(0.2438, 0.25107)	0.12281	0.34641	(0.34449, 0.34832)	0.23319	1.83449
chr9	5085	5	1	59	155	last_breed_formation_generation	True	TRUE	0.285	(0.27, 0.30)	0.575	(0.512, 0.637)	0.24098	(0.23482, 0.24715)	0.09082	0.35939	(0.35509, 0.36369)	0.22486	1.34601
chr9	5080	5	4	56	170	last_breed_formation_generation	True	TRUE	0.466	(0.43, 0.502)	0.866	(0.801, 0.931)	0.17798	(0.16553, 0.19043)	0.01881	0.36795	(0.36106, 0.37484)	0.18681	6.27419
chr9	5515	9	2	52	150	last_breed_formation_generation	True	TRUE	0.274	(0.258, 0.289)	0.539	(0.489, 0.588)	0.20227	(0.1974, 0.20714)	0.06822	0.35126	(0.34697, 0.35555)	0.21614	1.94432
chr28	5170	10	1	43	125	last_breed_formation_generation	True	TRUE	0.214	(0.204, 0.224)	0.395	(0.348, 0.443)	0.21264	(0.20889, 0.21639)	0.08617	0.34918	(0.34642, 0.35194)	0.22288	1.96558
chr38	6085	5	1	60	140	last_breed_formation_generation	True	TRUE	0.227	(0.21, 0.245)	0.454	(0.396, 0.511)	0.23502	(0.22882, 0.24122)	0.09763	0.35806	(0.35419, 0.36193)	0.2277	1.26916
chr38	4625	5	2	54	140	last_breed_formation_generation	True	TRUE	0.276	(0.247, 0.305)	0.556	(0.486, 0.625)	0.2195	(0.20899, 0.23001)	0.07673	0.36056	(0.35599, 0.36512)	0.22332	1.90606
chr38	6115	9	1	59	155	last_breed_formation_generation	True	TRUE	0.174	(0.165, 0.184)	0.32	(0.291, 0.348)	0.21493	(0.21167, 0.21819)	0.09423	0.35041	(0.34678, 0.35404)	0.23661	2.65243
chr20	5670	12	2	57	120	last_breed_formation_generation	True	TRUE	0.289	(0.271, 0.307)	0.588	(0.514, 0.661)	0.1817	(0.17661, 0.18679)	0.05233	0.35136	(0.34544, 0.35729)	0.20465	2.73407
chr38	5330	7	1	50	165	last_breed_formation_generation	True	TRUE	0.173	(0.161, 0.184)	0.32	(0.284, 0.356)	0.23772	(0.23224, 0.24319)	0.11834	0.35244	(0.34857, 0.3563)	0.24312	2.31614
chr9	5045	5	1	48	135	last_breed_formation_generation	True	TRUE	0.284	(0.266, 0.303)	0.544	(0.49, 0.598)	0.24392	(0.23735, 0.25049)	0.09531	0.3598	(0.35512, 0.36447)	0.2263	1.26094
chr9	5120	5	1	48	135	last_breed_formation_generation	True	TRUE	0.279	(0.262, 0.295)	0.561	(0.509, 0.614)	0.24516	(0.23892, 0.2514)	0.09823	0.3566	(0.35235, 0.36085)	0.2242	1.13682
chr38	4750	8	1	45	135	last_breed_formation_generation	True	TRUE	0.2	(0.186, 0.214)	0.379	(0.332, 0.425)	0.22443	(0.22045, 0.22842)	0.10468	0.35009	(0.34563, 0.35456)	0.23555	2.04017
chr9	5180	10	1	47	125	last_breed_formation_generation	True	TRUE	0.228	(0.215, 0.24)	0.439	(0.404, 0.474)	0.2116	(0.20796, 0.21525)	0.08163	0.34812	(0.34459, 0.35164)	0.22287	1.59413
chr2	4930	5	2	85	140	last_breed_formation_generation	True	TRUE	0.407	(0.39, 0.424)	0.859	(0.811, 0.906)	0.19381	(0.18841, 0.19921)	0.01696	0.36554	(0.361, 0.37007)	0.19026	4.79613
chr21	4545	13	1	48	150	last_breed_formation_generation	True	TRUE	0.195	(0.185, 0.206)	0.38	(0.351, 0.409)	0.20598	(0.20341, 0.20855)	0.0771	0.33982	(0.33699, 0.34265)	0.2112	2.33497
chr9	5980	8	2	43	115	last_breed_formation_generation	True	TRUE	0.297	(0.277, 0.318)	0.6	(0.535, 0.664)	0.20588	(0.19921, 0.21255)	0.07028	0.35423	(0.35058, 0.35789)	0.21597	2.37862
chr9	5080	11	1	46	490	last_breed_formation_generation	True	TRUE	0.116	(0.111, 0.121)	0.185	(0.171, 0.198)	0.23796	(0.23611, 0.2398)	0.12608	0.32514	(0.32357, 0.3267)	0.22193	3.37764
chr9	4360	5	1	52	420	last_breed_formation_generation	True	TRUE	0.193	(0.18, 0.206)	0.319	(0.285, 0.353)	0.27528	(0.27029, 0.28028)	0.14279	0.35076	(0.34786, 0.35365)	0.23869	2.51757
chr9	5035	5	1	49	135	last_breed_formation_generation	True	TRUE	0.273	(0.259, 0.286)	0.529	(0.484, 0.574)	0.24697	(0.24241, 0.25153)	0.09876	0.3582	(0.35411, 0.36229)	0.22628	1.08451
chr9	4765	7	1	49	135	last_breed_formation_generation	True	TRUE	0.257	(0.238, 0.276)	0.515	(0.449, 0.581)	0.22761	(0.22177, 0.23345)	0.08866	0.35221	(0.35007, 0.35434)	0.21993	1.41787
chr9	5310	9	1	42	125	last_breed_formation_generation	True	TRUE	0.234	(0.224, 0.244)	0.472	(0.431, 0.512)	0.21758	(0.21444, 0.22072)	0.08719	0.34674	(0.34354, 0.34995)	0.2231	1.26617
chr9	5275	72	1	47	130	last_breed_formation_generation	True	TRUE	0.172	(0.164, 0.18)	0.308	(0.284, 0.331)	0.14831	(0.14592, 0.15069)	0.04492	0.33322	(0.33089, 0.33554)	0.20133	4.08316
chr9	5570	9	2	44	145	last_breed_formation_generation	True	TRUE	0.246	(0.233, 0.258)	0.475	(0.434, 0.516)	0.2129	(0.20905, 0.21674)	0.08152	0.34966	(0.34724, 0.35208)	0.22039	1.53837
chr9	5445	10	1	51	160	last_breed_formation_generation	True	TRUE	0.204	(0.196, 0.211)	0.382	(0.351, 0.414)	0.21809	(0.21595, 0.22022)	0.09353	0.34527	(0.34307, 0.34748)	0.22649	1.89464
chr9	4975	7	2	48	125	last_breed_formation_generation	True	TRUE	0.304	(0.278, 0.329)	0.579	(0.51, 0.648)	0.21182	(0.20432, 0.21932)	0.07206	0.35648	(0.35118, 0.36178)	0.21551	2.35972
chr9	5720	5	1	42	110	last_breed_formation_generation	True	TRUE	0.289	(0.274, 0.304)	0.558	(0.512, 0.604)	0.24118	(0.23555, 0.24682)	0.09626	0.35487	(0.35137, 0.35837)	0.22081	1.25346
chr28	5755	5	1	42	110	last_breed_formation_generation	True	TRUE	0.292	(0.274, 0.31)	0.55	(0.483, 0.616)	0.2384	(0.23121, 0.24559)	0.08954	0.35629	(0.34945, 0.36314)	0.22432	1.50038
chr38	5685	12	1	42	110	last_breed_formation_generation	True	TRUE	0.188	(0.178, 0.198)	0.34	(0.307, 0.372)	0.20472	(0.20259, 0.20685)	0.08754	0.34369	(0.3404, 0.34699)	0.22772	2.61185
chr9	5330	8	1	46	140	last_breed_formation_generation	True	TRUE	0.23	(0.219, 0.24)	0.441	(0.407, 0.475)	0.22752	(0.22415, 0.23089)	0.09668	0.34695	(0.34387, 0.35003)	0.22324	1.19292
chr9	5135	9	1	45	135	last_breed_formation_generation	True	TRUE	0.219	(0.21, 0.227)	0.414	(0.38, 0.448)	0.21998	(0.21748, 0.22248)	0.08994	0.35041	(0.34795, 0.35288)	0.2311	1.54688
chr9	5440	5	1	46	150	last_breed_formation_generation	True	TRUE	0.283	(0.273, 0.293)	0.548	(0.507, 0.589)	0.24426	(0.24015, 0.24837)	0.09946	0.35633	(0.35284, 0.35982)	0.22436	1.02485
chr9	5445	8	1	45	150	last_breed_formation_generation	True	TRUE	0.23	(0.217, 0.243)	0.422	(0.387, 0.457)	0.22678	(0.2231, 0.23047)	0.10042	0.34801	(0.34514, 0.35089)	0.22826	1.32451
chr9	5810	64	1	43	120	last_breed_formation_generation	True	TRUE	0.183	(0.176, 0.19)	0.353	(0.326, 0.381)	0.15118	(0.14932, 0.15305)	0.04627	0.33333	(0.33155, 0.33512)	0.19612	3.67818
chr9	5970	10	1	49	135	last_breed_formation_generation	True	TRUE	0.226	(0.211, 0.242)	0.423	(0.372, 0.475)	0.21218	(0.20744, 0.21693)	0.08528	0.34633	(0.34362, 0.34904)	0.22298	1.81954
chr9	5620	7	2	42	145	last_breed_formation_generation	True	TRUE	0.284	(0.263, 0.304)	0.516	(0.472, 0.559)	0.21887	(0.21221, 0.22552)	0.08045	0.35562	(0.35168, 0.35955)	0.22196	1.86896
chr9	5365	5	1	46	105	last_breed_formation_generation	True	TRUE	0.322	(0.309, 0.336)	0.626	(0.575, 0.677)	0.2319	(0.22716, 0.23664)	0.0791	0.36135	(0.35723, 0.36547)	0.21934	2.08481
chr9	6105	9	1	91	165	last_breed_formation_generation	True	TRUE	0.258	(0.247, 0.269)	0.536	(0.479, 0.593)	0.20075	(0.19736, 0.20413)	0.06987	0.35523	(0.35179, 0.35867)	0.22061	1.71765
chr21	4965	14	2	44	120	last_breed_formation_generation	True	TRUE	0.245	(0.228, 0.262)	0.472	(0.417, 0.528)	0.19017	(0.18507, 0.19527)	0.05855	0.34809	(0.34441, 0.35177)	0.21132	2.1711
chr9	5205	5	1	47	160	last_breed_formation_generation	True	TRUE	0.286	(0.27, 0.303)	0.532	(0.498, 0.567)	0.24169	(0.23619, 0.24718)	0.09797	0.35376	(0.34961, 0.35792)	0.21925	1.25345
chr9	5075	7	1	48	155	last_breed_formation_generation	True	TRUE	0.229	(0.218, 0.24)	0.422	(0.393, 0.451)	0.23441	(0.23108, 0.23774)	0.10068	0.35025	(0.34758, 0.35291)	0.2265	1.11034
chr9	5515	5	1	50	155	last_breed_formation_generation	True	TRUE	0.273	(0.261, 0.284)	0.499	(0.46, 0.538)	0.24689	(0.24191, 0.25186)	0.10313	0.35948	(0.35631, 0.36265)	0.23288	1.16482
chr9	5085	7	1	48	155	last_breed_formation_generation	True	TRUE	0.228	(0.216, 0.24)	0.42	(0.385, 0.455)	0.23606	(0.23166, 0.24046)	0.10185	0.34867	(0.34581, 0.35153)	0.2279	1.16693
chr9	5045	7	1	49	160	last_breed_formation_generation	True	TRUE	0.244	(0.231, 0.257)	0.446	(0.413, 0.479)	0.22975	(0.22633, 0.23316)	0.09597	0.35214	(0.34926, 0.35502)	0.22638	1.2339
chr9	4855	11	1	53	155	last_breed_formation_generation	True	TRUE	0.213	(0.204, 0.221)	0.414	(0.383, 0.445)	0.2104	(0.20763, 0.21317)	0.08346	0.34531	(0.3433, 0.34732)	0.22211	1.8309
chr9	5550	7	2	50	165	last_breed_formation_generation	True	TRUE	0.279	(0.258, 0.30)	0.512	(0.46, 0.563)	0.2164	(0.20964, 0.22317)	0.07949	0.36009	(0.35488, 0.36531)	0.22635	1.93162
chr20	4690	7	1	49	155	last_breed_formation_generation	True	TRUE	0.248	(0.235, 0.26)	0.464	(0.427, 0.501)	0.23001	(0.22564, 0.23439)	0.0909	0.34932	(0.3452, 0.35343)	0.21864	1.25031
chr20	4635	67	1	52	160	last_breed_formation_generation	True	TRUE	0.163	(0.155, 0.171)	0.304	(0.275, 0.332)	0.15288	(0.15105, 0.15472)	0.0454	0.33059	(0.32811, 0.33308)	0.19499	4.15022
chr20	4755	60	2	49	150	last_breed_formation_generation	True	TRUE	0.179	(0.169, 0.19)	0.344	(0.316, 0.371)	0.15222	(0.14937, 0.15508)	0.04336	0.33477	(0.33315, 0.33638)	0.19914	3.83372
chr20	5120	7	1	46	170	last_breed_formation_generation	True	TRUE	0.216	(0.204, 0.228)	0.396	(0.368, 0.423)	0.24189	(0.23815, 0.24563)	0.11035	0.34673	(0.34347, 0.34999)	0.22537	1.26067
chr20	4875	8	1	50	150	last_breed_formation_generation	True	TRUE	0.242	(0.231, 0.253)	0.457	(0.424, 0.49)	0.22149	(0.21798, 0.22499)	0.08743	0.34692	(0.34371, 0.35013)	0.21792	1.33083
chr9	4620	6	1	48	180	last_breed_formation_generation	True	TRUE	0.224	(0.213, 0.235)	0.404	(0.377, 0.432)	0.24838	(0.24466, 0.25209)	0.11315	0.34865	(0.34622, 0.35108)	0.22974	1.11861
chr9	4515	11	1	54	180	last_breed_formation_generation	True	TRUE	0.194	(0.182, 0.205)	0.37	(0.334, 0.407)	0.21559	(0.21224, 0.21894)	0.08989	0.34168	(0.33842, 0.34494)	0.22121	2.25975
chr1	4630	7	1	48	160	last_breed_formation_generation	True	TRUE	0.253	(0.24, 0.266)	0.49	(0.461, 0.519)	0.23149	(0.22774, 0.23524)	0.08316	0.34941	(0.34604, 0.35277)	0.21393	1.13588
chr1	4670	9	1	51	175	last_breed_formation_generation	True	TRUE	0.222	(0.217, 0.228)	0.436	(0.409, 0.464)	0.2245	(0.22248, 0.22652)	0.08271	0.34484	(0.34302, 0.34666)	0.2109	1.2583
chr1	4965	7	1	49	575	last_breed_formation_generation	True	TRUE	0.174	(0.164, 0.184)	0.294	(0.269, 0.319)	0.25746	(0.25405, 0.26087)	0.12393	0.33893	(0.33533, 0.34254)	0.22255	2.42661
chr1	4435	12	2	52	190	last_breed_formation_generation	True	TRUE	0.231	(0.221, 0.241)	0.455	(0.42, 0.49)	0.20511	(0.20162, 0.20859)	0.0656	0.3429	(0.34053, 0.34528)	0.20357	1.60052
chr1	4540	9	1	48	145	last_breed_formation_generation	True	TRUE	0.244	(0.233, 0.255)	0.478	(0.437, 0.519)	0.21894	(0.21474, 0.22315)	0.07803	0.34749	(0.34492, 0.35007)	0.21044	1.37237
chr2	4810	7	2	46	165	last_breed_formation_generation	True	TRUE	0.269	(0.253, 0.285)	0.491	(0.436, 0.545)	0.22512	(0.2209, 0.22935)	0.07641	0.35518	(0.35071, 0.35966)	0.21705	1.59598
chr9	5110	6	1	47	160	last_breed_formation_generation	True	TRUE	0.24	(0.226, 0.253)	0.441	(0.405, 0.477)	0.24359	(0.23929, 0.2479)	0.10721	0.35302	(0.34974, 0.3563)	0.23217	0.95441
chr9	5070	7	1	49	155	last_breed_formation_generation	True	TRUE	0.256	(0.242, 0.271)	0.491	(0.437, 0.545)	0.22758	(0.22357, 0.23159)	0.08808	0.34875	(0.34483, 0.35267)	0.21618	1.37876
chr1	4670	10	1	45	170	last_breed_formation_generation	True	TRUE	0.201	(0.192, 0.209)	0.386	(0.359, 0.414)	0.22379	(0.22117, 0.2264)	0.08585	0.34081	(0.33867, 0.34294)	0.21083	1.81835
chr9	4880	6	1	51	140	last_breed_formation_generation	True	TRUE	0.269	(0.251, 0.288)	0.506	(0.465, 0.547)	0.23295	(0.22673, 0.23918)	0.09113	0.35314	(0.34888, 0.3574)	0.22095	1.39469
chr9	5360	8	1	48	180	last_breed_formation_generation	True	TRUE	0.214	(0.20, 0.228)	0.416	(0.366, 0.466)	0.23084	(0.22623, 0.23545)	0.10268	0.34257	(0.34015, 0.345)	0.225	1.60313
chr1	5060	5	1	54	155	last_breed_formation_generation	True	TRUE	0.33	(0.313, 0.347)	0.65	(0.606, 0.695)	0.2343	(0.22788, 0.24073)	0.07064	0.35506	(0.35046, 0.35966)	0.20551	2.24786
chr9	4765	11	1	44	130	last_breed_formation_generation	True	TRUE	0.219	(0.209, 0.23)	0.439	(0.389, 0.49)	0.20985	(0.2068, 0.2129)	0.08371	0.34294	(0.34025, 0.34563)	0.21654	1.7946
chr28	4425	9	1	79	145	last_breed_formation_generation	True	TRUE	0.263	(0.249, 0.277)	0.529	(0.475, 0.583)	0.19949	(0.19512, 0.20386)	0.05936	0.35475	(0.35239, 0.3571)	0.21352	1.87984
chr9	4955	7	2	47	165	last_breed_formation_generation	True	TRUE	0.288	(0.272, 0.304)	0.533	(0.493, 0.573)	0.21702	(0.21191, 0.22213)	0.07675	0.35698	(0.35275, 0.36121)	0.21835	1.79883
chr1	5175	5	1	50	195	last_breed_formation_generation	True	TRUE	0.264	(0.249, 0.278)	0.526	(0.475, 0.577)	0.25623	(0.25101, 0.26145)	0.09807	0.35554	(0.35266, 0.35842)	0.22124	1.2077
chr1	5165	5	1	50	190	last_breed_formation_generation	True	TRUE	0.285	(0.269, 0.301)	0.512	(0.467, 0.557)	0.24978	(0.24477, 0.2548)	0.09145	0.35842	(0.35504, 0.36179)	0.22015	1.39024
chr1	5450	7	1	52	205	last_breed_formation_generation	True	TRUE	0.238	(0.229, 0.246)	0.454	(0.429, 0.479)	0.23748	(0.23452, 0.24043)	0.09345	0.34728	(0.34516, 0.3494)	0.21666	0.87871
chr1	5485	5	1	53	200	last_breed_formation_generation	True	TRUE	0.26	(0.248, 0.273)	0.516	(0.463, 0.57)	0.25477	(0.25052, 0.25902)	0.09923	0.35397	(0.3507, 0.35723)	0.22062	1.1407
chr1	5490	5	1	54	200	last_breed_formation_generation	True	TRUE	0.28	(0.263, 0.298)	0.519	(0.453, 0.585)	0.25052	(0.24494, 0.2561)	0.09452	0.35628	(0.35313, 0.35943)	0.21729	1.41773
chr1	5390	9	1	52	195	last_breed_formation_generation	True	TRUE	0.21	(0.199, 0.22)	0.41	(0.383, 0.437)	0.22678	(0.22379, 0.22978)	0.08835	0.34349	(0.3413, 0.34567)	0.21291	1.56722
chr1	5340	5	1	55	170	last_breed_formation_generation	True	TRUE	0.28	(0.266, 0.293)	0.529	(0.493, 0.565)	0.24978	(0.24463, 0.25494)	0.0919	0.35633	(0.35335, 0.35931)	0.21655	1.1969
chr1	5290	5	2	56	215	last_breed_formation_generation	True	TRUE	0.337	(0.319, 0.354)	0.655	(0.598, 0.712)	0.23066	(0.22534, 0.23598)	0.0635	0.3626	(0.35886, 0.36634)	0.20817	2.46465
chr1	5515	5	1	53	210	last_breed_formation_generation	True	TRUE	0.271	(0.255, 0.287)	0.517	(0.468, 0.567)	0.25347	(0.2475, 0.25944)	0.09727	0.3552	(0.35084, 0.35957)	0.22033	1.30312
chr1	5415	9	1	55	185	last_breed_formation_generation	True	TRUE	0.225	(0.215, 0.236)	0.445	(0.411, 0.479)	0.22375	(0.22062, 0.22689)	0.08446	0.34548	(0.34293, 0.34802)	0.21233	1.3202
chr1	5250	7	1	51	205	last_breed_formation_generation	True	TRUE	0.232	(0.218, 0.246)	0.413	(0.378, 0.447)	0.24005	(0.23532, 0.24479)	0.09747	0.34722	(0.34496, 0.34947)	0.2181	1.09048
chr1	5160	7	1	51	195	last_breed_formation_generation	True	TRUE	0.232	(0.221, 0.243)	0.451	(0.411, 0.49)	0.23944	(0.23602, 0.24285)	0.09316	0.34789	(0.34529, 0.35049)	0.21572	0.90685
chr1	5230	7	1	52	210	last_breed_formation_generation	True	TRUE	0.218	(0.21, 0.225)	0.427	(0.392, 0.462)	0.24413	(0.24137, 0.24689)	0.10165	0.34502	(0.34283, 0.3472)	0.21611	1.01977
chr1	5325	81	1	52	210	last_breed_formation_generation	True	TRUE	0.137	(0.131, 0.143)	0.261	(0.238, 0.285)	0.1536	(0.15232, 0.15487)	0.04104	0.32365	(0.32191, 0.32539)	0.18389	4.60111
chr1	5270	10	1	52	205	last_breed_formation_generation	True	TRUE	0.203	(0.194, 0.212)	0.394	(0.366, 0.422)	0.22386	(0.22072, 0.227)	0.08665	0.34008	(0.33829, 0.34188)	0.21085	1.78085
chr1	5610	90	1	57	180	last_breed_formation_generation	True	TRUE	0.165	(0.159, 0.17)	0.308	(0.291, 0.326)	0.14619	(0.14504, 0.14733)	0.03384	0.33004	(0.32857, 0.3315)	0.18221	4.1033
chr1	5415	8	1	55	220	last_breed_formation_generation	True	TRUE	0.226	(0.217, 0.235)	0.436	(0.40, 0.473)	0.23096	(0.22774, 0.23418)	0.08995	0.34508	(0.34325, 0.3469)	0.21468	1.18522
chr1	5175	8	2	53	205	last_breed_formation_generation	True	TRUE	0.278	(0.26, 0.297)	0.516	(0.47, 0.562)	0.21482	(0.20855, 0.22108)	0.06909	0.35208	(0.34669, 0.35747)	0.21083	1.87308
chr1	5525	12	1	51	230	last_breed_formation_generation	True	TRUE	0.183	(0.175, 0.191)	0.331	(0.312, 0.35)	0.21789	(0.21559, 0.22019)	0.0882	0.33557	(0.3337, 0.33744)	0.20961	2.35429
chr1	5435	8	1	47	215	last_breed_formation_generation	True	TRUE	0.207	(0.201, 0.212)	0.401	(0.369, 0.434)	0.23712	(0.23497, 0.23928)	0.09905	0.34227	(0.34023, 0.34432)	0.21672	1.36952
chr1	5085	10	1	51	220	last_breed_formation_generation	True	TRUE	0.194	(0.187, 0.202)	0.372	(0.336, 0.408)	0.22523	(0.22304, 0.22741)	0.09018	0.33717	(0.33527, 0.33908)	0.20842	1.96947
chr1	5250	7	1	55	195	last_breed_formation_generation	True	TRUE	0.238	(0.228, 0.248)	0.484	(0.437, 0.532)	0.237	(0.23354, 0.24046)	0.09131	0.34827	(0.34534, 0.35119)	0.21768	0.89556
chr1	5225	8	1	55	195	last_breed_formation_generation	True	TRUE	0.217	(0.207, 0.228)	0.401	(0.369, 0.433)	0.2334	(0.22977, 0.23704)	0.09085	0.34621	(0.34452, 0.3479)	0.21699	1.40001
chr1	5625	7	1	53	200	last_breed_formation_generation	True	TRUE	0.238	(0.226, 0.25)	0.458	(0.416, 0.499)	0.23614	(0.23211, 0.24016)	0.09114	0.34836	(0.34525, 0.35147)	0.21688	1.02966
chr1	5660	6	1	57	240	last_breed_formation_generation	True	TRUE	0.243	(0.232, 0.253)	0.449	(0.421, 0.478)	0.24726	(0.24337, 0.25115)	0.10069	0.35118	(0.34844, 0.35392)	0.22295	0.91684
chr1	5680	6	1	52	200	last_breed_formation_generation	True	TRUE	0.239	(0.229, 0.25)	0.436	(0.402, 0.469)	0.2495	(0.24613, 0.25287)	0.10288	0.352	(0.34812, 0.35587)	0.22261	0.97672
chr1	5535	6	2	58	235	last_breed_formation_generation	True	TRUE	0.304	(0.287, 0.322)	0.55	(0.506, 0.595)	0.22486	(0.21896, 0.23076)	0.07192	0.35732	(0.3537, 0.36095)	0.21191	1.81367
chr1	5820	6	1	53	195	last_breed_formation_generation	True	TRUE	0.256	(0.244, 0.269)	0.497	(0.44, 0.554)	0.242	(0.23749, 0.2465)	0.09367	0.35272	(0.34962, 0.35583)	0.21741	1.03967
chr1	5830	5	1	53	200	last_breed_formation_generation	True	TRUE	0.27	(0.254, 0.286)	0.485	(0.456, 0.513)	0.2532	(0.24699, 0.25942)	0.0981	0.35549	(0.3535, 0.35748)	0.22345	1.32586
chr1	5685	6	1	57	190	last_breed_formation_generation	True	TRUE	0.271	(0.255, 0.287)	0.532	(0.486, 0.578)	0.23846	(0.23356, 0.24335)	0.08693	0.3543	(0.3519, 0.3567)	0.2175	1.15609
chr1	5755	10	2	58	200	last_breed_formation_generation	True	TRUE	0.25	(0.238, 0.261)	0.514	(0.452, 0.577)	0.20999	(0.20637, 0.21361)	0.06829	0.34863	(0.34659, 0.35068)	0.20823	1.56243
chr1	5910	6	1	56	190	last_breed_formation_generation	True	TRUE	0.252	(0.243, 0.261)	0.477	(0.441, 0.512)	0.24335	(0.24047, 0.24623)	0.09557	0.34979	(0.34735, 0.35223)	0.21809	0.88542
chr1	5850	7	1	57	190	last_breed_formation_generation	True	TRUE	0.242	(0.234, 0.251)	0.466	(0.429, 0.502)	0.2354	(0.23223, 0.23857)	0.0895	0.34759	(0.34451, 0.35067)	0.21346	0.98116
chr1	5915	7	1	56	205	last_breed_formation_generation	True	TRUE	0.244	(0.234, 0.254)	0.477	(0.43, 0.523)	0.2358	(0.23311, 0.23848)	0.09109	0.34849	(0.34574, 0.35123)	0.2165	1.001
chr1	6195	7	1	57	215	last_breed_formation_generation	True	TRUE	0.24	(0.229, 0.251)	0.465	(0.421, 0.51)	0.23548	(0.23203, 0.23892)	0.09139	0.34912	(0.34684, 0.35141)	0.21936	1.02345
chr1	6390	9	1	55	210	last_breed_formation_generation	True	TRUE	0.211	(0.202, 0.22)	0.402	(0.35, 0.454)	0.22809	(0.22591, 0.23026)	0.09108	0.34175	(0.33887, 0.34463)	0.21591	1.65002
chr1	5930	7	1	62	185	last_breed_formation_generation	True	TRUE	0.253	(0.24, 0.267)	0.513	(0.464, 0.562)	0.23098	(0.22677, 0.23518)	0.08218	0.35152	(0.34995, 0.3531)	0.21657	1.14081
chr1	5970	11	1	60	245	last_breed_formation_generation	True	TRUE	0.186	(0.176, 0.197)	0.366	(0.332, 0.399)	0.22062	(0.21732, 0.22391)	0.0886	0.33854	(0.33682, 0.34026)	0.21199	2.25301
chr1	5875	7	1	57	210	last_breed_formation_generation	True	TRUE	0.246	(0.232, 0.261)	0.481	(0.42, 0.542)	0.23257	(0.22766, 0.23747)	0.08682	0.34877	(0.34525, 0.35229)	0.21657	1.24083
chr1	6235	9	1	56	220	last_breed_formation_generation	True	TRUE	0.202	(0.195, 0.209)	0.37	(0.349, 0.39)	0.23038	(0.22838, 0.23237)	0.09436	0.34146	(0.33939, 0.34353)	0.2168	1.65678
